Tipo,T [°C],CO2 Concentration [a.u.]
REF,528.3,7.64E-06
REF,529,6.61E-06
REF,529.8,6.78E-06
REF,530.4,8.10E-06
REF,531.1,5.17E-06
REF,531.6,6.17E-06
REF,532,5.75E-06
REF,532.6,7.14E-06
REF,533,6.36E-06
REF,533.7,7.20E-06
REF,534.3,3.96E-06
REF,535.2,6.70E-06
REF,536.1,8.83E-06
REF,536.7,5.72E-06
REF,537.6,5.12E-06
REF,538,7.91E-06
REF,538.6,8.21E-06
REF,539,8.22E-06
REF,539.4,7.11E-06
REF,540,5.22E-06
REF,540.5,6.80E-06
REF,541.4,5.56E-06
REF,542,6.41E-06
REF,543,6.25E-06
REF,543.8,5.08E-06
REF,544.4,6.92E-06
REF,545,6.55E-06
REF,545.4,3.54E-06
REF,545.9,5.52E-06
REF,546.3,9.12E-06
REF,546.9,7.07E-06
REF,547.6,5.06E-06
REF,548.2,7.09E-06
REF,549.1,5.56E-06
REF,549.8,6.03E-06
REF,550.7,3.84E-06
REF,551.2,5.14E-06
REF,551.8,6.45E-06
REF,552.3,3.25E-06
REF,552.7,3.91E-06
REF,553.2,7.12E-06
REF,553.6,3.60E-06
REF,554.4,5.95E-06
REF,555.3,4.39E-06
REF,556,5.33E-06
REF,556.9,4.37E-06
REF,557.5,4.07E-06
REF,558.2,3.67E-06
REF,558.7,3.30E-06
REF,559.2,3.84E-06
REF,559.7,7.76E-06
REF,560,6.44E-06
REF,560.7,6.00E-06
REF,561.3,3.83E-06
REF,562.2,5.98E-06
REF,563.1,4.10E-06
REF,563.8,5.36E-06
REF,564.5,6.00E-06
REF,565,7.83E-06
REF,565.6,6.54E-06
REF,566.1,2.99E-06
REF,566.4,6.65E-06
REF,567,4.96E-06
REF,567.5,5.72E-06
REF,568.3,4.44E-06
REF,569.2,4.25E-06
REF,569.9,3.59E-06
REF,570.7,4.99E-06
REF,571.3,6.56E-06
REF,571.8,9.49E-07
REF,572.2,4.59E-06
REF,572.7,5.98E-06
REF,573.1,7.18E-06
REF,573.6,4.03E-06
REF,574.4,4.50E-06
REF,575,4.95E-06
REF,575.9,4.66E-06
REF,576.5,4.84E-06
REF,577.3,5.07E-06
REF,578,5.03E-06
REF,578.4,3.32E-06
REF,578.8,3.78E-06
REF,579.2,3.51E-06
REF,579.7,4.94E-06
REF,580.5,1.71E-08
REF,581.1,4.52E-06
REF,582,3.63E-06
REF,582.7,3.48E-06
REF,583.5,4.68E-06
REF,584.1,1.53E-06
REF,584.6,6.55E-06
REF,585.2,3.33E-06
REF,585.5,4.16E-06
REF,585.9,1.93E-06
REF,586.4,2.87E-06
REF,587.2,3.29E-06
REF,588.1,2.46E-06
REF,588.7,2.90E-06
REF,589.7,4.78E-06
REF,590.2,3.10E-06
REF,590.9,1.36E-06
REF,591.3,2.74E-06
REF,591.8,1.29E-06
REF,592.3,4.77E-07
REF,592.7,4.73E-06
REF,593.4,4.21E-06
REF,594.1,5.23E-07
REF,594.9,1.34E-06
REF,595.8,1.46E-06
REF,596.5,2.26E-06
REF,597.2,5.41E-06
REF,597.6,3.26E-06
REF,598.1,3.61E-06
REF,598.5,3.39E-06
REF,599,5.82E-06
REF,599.6,-7.98E-07
REF,600.2,4.61E-06
REF,601.1,4.49E-06
REF,601.8,-8.45E-07
REF,602.8,-1.78E-08
REF,603.4,3.44E-06
REF,603.3996698,4.77E-07
REF,604.6,1.74E-06
REF,604.9,2.22E-06
REF,605.1009196,-1.81E-06
REF,605.8,1.39E-06
REF,606.5,-1.13E-06
REF,607.1,2.33E-06
REF,608,-5.04E-07
REF,608.9,5.61E-07
REF,609.6,2.15E-06
REF,610.3,-3.60E-07
REF,610.8,2.56E-06
REF,611.3,4.33E-07
REF,611.7,2.64E-06
REF,612,1.84E-06
REF,612.6,1.58E-06
REF,613.2,1.55E-06
REF,614.1,1.50E-06
REF,615,1.45E-06
REF,615.7,-2.29E-07
REF,616.5,3.05E-06
REF,617,-6.06E-07
REF,617.5,1.88E-06
REF,617.9,2.60E-06
REF,618.3,4.75E-07
REF,618.9,2.61E-06
REF,619.4,-3.57E-07
REF,620.2,-9.98E-07
REF,620.9,8.57E-08
REF,621.9,3.22E-07
REF,622.7,4.91E-07
REF,623.3,1.30E-06
REF,623.8,1.31E-06
REF,624.2,-2.67E-07
REF,624.7,-1.17E-06
REF,625,3.02E-06
REF,625.6,1.91E-06
REF,626.4,1.20E-06
